t,#,x,y,road,speed,turn,
46,3,208.029429,224.140000,2,13.888889,0,
47,3,214.973873,224.140000,2,13.888889,0,
48,3,221.918317,224.140000,2,13.888889,0,
49,3,228.862762,224.140000,2,13.888889,0,
50,3,235.807206,224.140000,2,13.888889,0,
51,3,242.751651,224.140000,2,13.888889,0,
52,3,249.696095,224.140000,2,13.888889,0,
53,3,256.640540,224.140000,2,13.888889,0,
54,3,263.584984,224.140000,2,13.888889,0,
55,3,270.529429,224.140000,2,13.888889,0,
56,3,277.473873,224.140000,2,13.888889,0,
57,3,284.418317,224.140000,2,13.888889,0,
58,3,291.362762,224.140000,2,13.888889,0,
59,3,298.307206,224.140000,2,13.888889,0,
60,3,305.251651,224.140000,2,13.888889,0,
61,3,312.196095,224.140000,2,13.888889,0,
1,4,0.000000,34.760000,27,7.000000,0,
2,4,0.000000,38.260000,27,7.000000,0,
3,4,0.000000,41.760000,27,10.500000,0,
4,4,0.000000,48.890000,27,13.888889,1,
5,4,0.000000,48.890000,12,5.588475,0,
6,4,0.000000,48.890000,12,5.588475,0,
7,4,0.000000,48.890000,12,5.588475,0,
8,4,0.000000,48.890000,12,5.588475,0,
9,4,0.000000,48.890000,12,5.588475,0,
10,4,0.000000,48.890000,12,5.588475,0,
11,4,0.000000,48.890000,12,5.588475,0,
12,4,0.000000,48.890000,12,5.588475,0,
13,4,0.000000,48.890000,12,5.588475,0,
14,4,0.000000,48.890000,12,5.588475,0,
15,4,2.794238,48.890000,12,9.088475,0,
16,4,7.338475,48.890000,12,12.588475,0,
17,4,13.632713,48.890000,12,13.888889,0,
18,4,20.577158,48.890000,12,13.888889,0,
19,4,27.521602,48.890000,12,13.888889,0,
20,4,34.466046,48.890000,12,13.888889,0,
21,4,41.410491,48.890000,12,13.888889,0,
22,4,48.354935,48.890000,12,13.888889,0,
23,4,55.299380,48.890000,12,13.888889,0,
24,4,62.243824,48.890000,12,13.888889,0,
25,4,69.188269,48.890000,12,13.888889,0,
26,4,76.132713,48.890000,12,13.888889,0,
27,4,83.077158,48.890000,12,13.888889,0,
28,4,90.021602,48.890000,12,13.888889,0,
29,4,96.966046,48.890000,12,13.888889,0,
30,4,103.910491,48.890000,12,13.888889,0,
31,4,110.854935,48.890000,12,13.888889,0,
32,4,117.799380,48.890000,12,13.888889,0,
33,4,124.743824,48.890000,12,13.888889,0,
34,4,131.688269,48.890000,12,13.888889,0,
35,4,138.632713,48.890000,12,13.888889,0,
36,4,151.170000,48.890000,12,13.888889,1,
37,4,151.170000,48.890000,21,13.888889,0,
38,4,151.170000,48.890000,21,13.888889,0,
39,4,151.170000,48.890000,21,13.888889,0,
40,4,151.170000,48.890000,21,13.888889,0,
41,4,151.170000,48.890000,21,13.888889,0,
42,4,151.170000,48.890000,21,13.888889,0,
43,4,151.170000,48.890000,21,13.888889,0,
44,4,151.170000,48.890000,21,13.888889,0,
45,4,151.170000,48.890000,21,13.888889,0,
46,4,151.170000,48.890000,21,13.888889,0,
47,4,151.170000,41.945556,21,13.888889,0,
48,4,151.170000,35.001111,21,13.888889,0,
49,4,151.170000,28.056667,21,13.888889,0,
50,4,151.170000,21.112222,21,13.888889,0,
51,4,151.170000,14.167778,21,13.888889,0,
52,4,151.170000,7.223333,21,13.888889,0,
53,4,151.170000,0.000000,21,13.888889,1,
54,4,151.170000,0.000000,31,9.737681,1,
55,4,151.170000,0.000000,22,9.737681,0,
56,4,151.170000,4.868841,22,13.237681,0,
57,4,151.170000,11.487681,22,13.888889,0,
58,4,151.170000,18.432126,22,13.888889,0,
59,4,151.170000,25.376570,22,13.888889,0,
60,4,151.170000,32.321014,22,13.888889,0,
61,4,151.170000,39.265459,22,13.888889,0,
1,5,21.720000,295.590000,1,7.000000,0,
2,5,18.220000,295.590000,1,7.000000,0,
3,5,14.720000,295.590000,1,10.500000,0,
4,5,9.470000,295.590000,1,13.888889,0,
5,5,0.000000,295.190000,1,13.888889,1,
6,5,0.000000,295.190000,15,2.081017,0,
7,5,0.000000,295.190000,15,2.081017,0,
8,5,0.000000,295.190000,15,2.081017,0,
9,5,0.000000,294.149491,15,5.581017,0,
10,5,0.000000,291.358983,15,9.081017,0,
11,5,0.000000,286.818474,15,12.581017,0,
12,5,0.000000,280.527965,15,13.888889,0,
13,5,0.000000,273.583521,15,13.888889,0,
14,5,0.000000,266.639076,15,13.888889,0,
15,5,0.000000,259.694632,15,13.888889,0,
16,5,0.000000,252.750187,15,13.888889,0,
17,5,0.000000,245.805743,15,13.888889,0,
18,5,0.000000,238.861299,15,13.888889,0,
19,5,0.000000,231.916854,15,13.888889,0,
20,5,0.000000,224.140000,15,13.888889,1,
21,5,0.000000,224.140000,2,5.556656,0,
22,5,2.778328,224.140000,2,9.056656,0,
23,5,7.306656,224.140000,2,12.556656,0,
24,5,13.584984,224.140000,2,13.888889,0,
25,5,20.529429,224.140000,2,13.888889,0,
26,5,27.473873,224.140000,2,13.888889,0,
27,5,34.418317,224.140000,2,13.888889,0,
28,5,41.362762,224.140000,2,13.888889,0,
29,5,48.307206,224.140000,2,13.888889,0,
