9号车: x=149.877778, y=170.970000, on road number19, speed=13.888889, going to turn:0
9号车: x=149.877778, y=170.970000, on road number19, speed=13.888889, going to turn:0
9号车: x=149.877778, y=170.970000, on road number19, speed=13.888889, going to turn:0
9号车: x=149.877778, y=164.025556, on road number19, speed=13.888889, going to turn:0
10号车: x=224.480000, y=48.890000, on road number15, speed=7.000000, going to turn:0
10号车: x=227.980000, y=48.890000, on road number15, speed=7.000000, going to turn:0
10号车: x=231.480000, y=48.890000, on road number15, speed=10.500000, going to turn:0
10号车: x=236.730000, y=48.890000, on road number15, speed=13.888889, going to turn:0
10号车: x=243.674444, y=48.890000, on road number15, speed=13.888889, going to turn:0

::::::::::::::::::::::::::::::::::::::::::::::
10号车: x=251.260000, y=48.890000, on road number15, speed=13.888889, going to turn:1
10号车: x=251.260000, y=48.890000, on road number32, speed=13.888889, going to turn:0
10号车: x=251.260000, y=55.834444, on road number32, speed=13.888889, going to turn:0
10号车: x=251.260000, y=62.778889, on road number32, speed=13.888889, going to turn:0
10号车: x=251.260000, y=69.723333, on road number32, speed=13.888889, going to turn:0
10号车: x=251.260000, y=76.667778, on road number32, speed=13.888889, going to turn:0
10号车: x=251.260000, y=83.612222, on road number32, speed=13.888889, going to turn:0
10号车: x=251.260000, y=90.556667, on road number32, speed=13.888889, going to turn:0
10号车: x=251.260000, y=97.501111, on road number32, speed=13.888889, going to turn:0
10号车: x=251.260000, y=104.445556, on road number32, speed=13.888889, going to turn:0
10号车: x=251.260000, y=111.390000, on road number32, speed=13.888889, going to turn:0
10号车: x=251.260000, y=118.334444, on road number32, speed=13.888889, going to turn:0
10号车: x=251.260000, y=125.278889, on road number32, speed=13.888889, going to turn:0
10号车: x=251.260000, y=132.223333, on road number32, speed=13.888889, going to turn:0
10号车: x=251.260000, y=139.167778, on road number32, speed=13.888889, going to turn:0
10号车: x=251.260000, y=146.112222, on road number32, speed=13.888889, going to turn:0
