t,#,x,y,road,speed,turn,
20,7,363.431111,104.430000,9,13.888889,0,
21,7,371.110000,107.430000,9,13.888889,1,
22,7,371.110000,107.430000,10,13.888889,0,
23,7,364.165556,107.430000,10,13.888889,0,
24,7,357.221111,107.430000,10,13.888889,0,
25,7,350.276667,107.430000,10,13.888889,0,
26,7,343.332222,107.430000,10,13.888889,0,
27,7,336.387778,107.430000,10,13.888889,0,
28,7,329.443333,107.430000,10,13.888889,0,
29,7,322.498889,107.430000,10,13.888889,0,
30,7,315.554444,107.430000,10,13.888889,0,
31,7,308.610000,107.430000,10,13.888889,0,
32,7,301.665556,107.430000,10,13.888889,0,
33,7,294.721111,107.430000,10,13.888889,0,
34,7,287.776667,107.430000,10,13.888889,0,
35,7,280.832222,107.430000,10,13.888889,0,
36,7,273.887778,107.430000,10,13.888889,0,
37,7,266.943333,107.430000,10,13.888889,0,
38,7,259.998889,107.430000,10,13.888889,0,
39,7,253.054444,107.430000,10,13.888889,0,
40,7,246.110000,107.430000,10,13.888889,0,
41,7,239.165556,107.430000,10,13.888889,0,
1,8,151.170000,198.520000,18,7.000000,0,
2,8,151.170000,195.020000,18,7.000000,0,
3,8,151.170000,191.520000,18,10.500000,0,
4,8,151.170000,186.270000,18,13.888889,0,
5,8,151.170000,179.325556,18,13.888889,0,
6,8,151.170000,172.381111,18,13.888889,0,
7,8,151.170000,165.436667,18,13.888889,0,
8,8,151.170000,158.492222,18,13.888889,0,
9,8,151.170000,151.547778,18,13.888889,0,
10,8,151.170000,144.603333,18,13.888889,0,
11,8,151.170000,137.658889,18,13.888889,0,
12,8,151.170000,130.714444,18,13.888889,0,
13,8,151.170000,123.770000,18,13.888889,0,
14,8,151.170000,107.430000,18,13.888889,1,
15,8,151.170000,107.430000,20,13.888889,0,
16,8,151.170000,107.430000,20,13.888889,0,
17,8,151.170000,107.430000,20,13.888889,0,
18,8,151.170000,100.485556,20,13.888889,0,
19,8,151.170000,93.541111,20,13.888889,0,
20,8,151.170000,86.596667,20,13.888889,0,
21,8,151.170000,79.652222,20,13.888889,0,
22,8,151.170000,72.707778,20,13.888889,0,
23,8,151.170000,65.763333,20,13.888889,0,
24,8,151.170000,48.890000,20,13.888889,1,
25,8,151.170000,48.890000,13,9.195865,0,
26,8,155.767932,48.890000,13,13.888889,0,
27,8,162.712377,48.890000,13,13.888889,0,
28,8,169.656821,48.890000,13,13.888889,0,
29,8,176.601266,48.890000,13,13.888889,0,
30,8,183.545710,48.890000,13,13.888889,0,
31,8,190.490155,48.890000,13,13.888889,0,
32,8,197.434599,48.890000,13,13.888889,0,
33,8,204.379044,48.890000,13,13.888889,0,
34,8,211.323488,48.890000,13,13.888889,0,
35,8,218.267932,48.890000,13,13.888889,0,
36,8,225.212377,48.890000,13,13.888889,0,
37,8,232.156821,48.890000,13,13.888889,0,
38,8,239.101266,48.890000,13,13.888889,0,
39,8,246.045710,48.890000,13,13.888889,0,
40,8,251.260000,48.890000,13,13.888889,1,
41,8,251.260000,48.890000,32,13.888889,1,
1,9,47.350000,170.970000,4,7.000000,0,
2,9,50.850000,170.970000,4,7.000000,0,
3,9,54.350000,170.970000,4,10.500000,0,
4,9,59.600000,170.970000,4,13.888889,0,
5,9,66.544444,170.970000,4,13.888889,0,
6,9,73.488889,170.970000,4,13.888889,0,
7,9,80.433333,170.970000,4,13.888889,0,
8,9,87.377778,170.970000,4,13.888889,0,
9,9,94.322222,170.970000,4,13.888889,0,
10,9,101.266667,170.970000,4,13.888889,0,
11,9,108.211111,170.970000,4,13.888889,0,
12,9,115.155556,170.970000,4,13.888889,0,
13,9,122.100000,170.970000,4,13.888889,0,
14,9,129.044444,170.970000,4,13.888889,0,
15,9,135.988889,170.970000,4,13.888889,0,
16,9,142.933333,170.970000,4,13.888889,0,
17,9,149.877778,170.970000,4,13.888889,0,
18,9,156.822222,170.970000,4,13.888889,0,
19,9,163.766667,170.970000,4,13.888889,0,
20,9,170.711111,170.970000,4,13.888889,0,
21,9,177.655556,170.970000,4,13.888889,0,
22,9,184.600000,170.970000,4,13.888889,0,
23,9,191.544444,170.970000,4,13.888889,0,
24,9,198.488889,170.970000,4,13.888889,0,
25,9,205.433333,170.970000,4,13.888889,0,
26,9,212.377778,170.970000,4,13.888889,0,
27,9,219.322222,170.970000,4,13.888889,0,
