10号车: x=264.507778, y=48.890000, on road number15, speed=13.888889
10号车: x=271.452222, y=48.890000, on road number15, speed=13.888889
10号车: x=278.396667, y=48.890000, on road number15, speed=13.888889
10号车: x=285.341111, y=48.890000, on road number15, speed=13.888889
10号车: x=292.285556, y=48.890000, on road number15, speed=13.888889
10号车: x=299.230000, y=48.890000, on road number15, speed=13.888889
10号车: x=306.174444, y=48.890000, on road number15, speed=13.888889
10号车: x=313.118889, y=48.890000, on road number15, speed=13.888889
10号车: x=320.063333, y=48.890000, on road number15, speed=13.888889
10号车: x=327.007778, y=48.890000, on road number15, speed=13.888889
10号车: x=333.952222, y=48.890000, on road number15, speed=13.888889
10号车: x=340.896667, y=48.890000, on road number15, speed=13.888889
10号车: x=347.841111, y=48.890000, on road number15, speed=13.888889
10号车: x=354.785556, y=48.890000, on road number15, speed=13.888889
PS C:\Users\Allan\Desktop\IMMC 2022 Greater China\Programming>
